Microsoft Xbox 360 || Rise of Nightmares (World) || $ROM_JSON_ROOT/Microsoft/Microsoft Xbox 360/Rise of Nightmares (World)/Rise of Nightmares (World).json
Microsoft Xbox 360 || Saints Row (World) (En,Fr,De,Es,It) || $ROM_JSON_ROOT/Microsoft/Microsoft Xbox 360/Saints Row (World) (En,Fr,De,Es,It)/Saints Row (World) (En,Fr,De,Es,It).json
Microsoft Xbox 360 || Saints Row - The Third - The Full Package (World) (En,Fr,De,Es,It) || $ROM_JSON_ROOT/Microsoft/Microsoft Xbox 360/Saints Row - The Third - The Full Package (World) (En,Fr,De,Es,It)/Saints Row - The Third - The Full Package (World) (En,Fr,De,Es,It).json
Microsoft Xbox 360 || Saints Row 2 (World) (En,Fr,De,Es,It,Nl) || $ROM_JSON_ROOT/Microsoft/Microsoft Xbox 360/Saints Row 2 (World) (En,Fr,De,Es,It,Nl)/Saints Row 2 (World) (En,Fr,De,Es,It,Nl).json
Microsoft Xbox 360 || Saints Row IV - Gat out of Hell (World) || $ROM_JSON_ROOT/Microsoft/Microsoft Xbox 360/Saints Row IV - Gat out of Hell (World)/Saints Row IV - Gat out of Hell (World).json
Microsoft Xbox 360 || Saints Row IV - National Treasure Edition (World) || $ROM_JSON_ROOT/Microsoft/Microsoft Xbox 360/Saints Row IV - National Treasure Edition (World)/Saints Row IV - National Treasure Edition (World).json
Microsoft Xbox 360 || Serious Sam Collection, The (World) || $ROM_JSON_ROOT/Microsoft/Microsoft Xbox 360/Serious Sam Collection, The (World)/Serious Sam Collection, The (World).json
Microsoft Xbox 360 || Triple Pack - LIMBO, Trials HD, 'Splosion Man (USA) || $ROM_JSON_ROOT/Microsoft/Microsoft Xbox 360/Triple Pack - LIMBO, Trials HD, 'Splosion Man (USA)/Triple Pack - LIMBO, Trials HD, 'Splosion Man (USA).json
Microsoft Xbox 360 || Triple Pack - Outland, From Dust, Beyond Good & Evil HD (Europe) || $ROM_JSON_ROOT/Microsoft/Microsoft Xbox 360/Triple Pack - Outland, From Dust, Beyond Good & Evil HD (Europe)/Triple Pack - Outland, From Dust, Beyond Good & Evil HD (Europe).json
Microsoft Xbox 360 || Viva Pinata (USA, Europe) || $ROM_JSON_ROOT/Microsoft/Microsoft Xbox 360/Viva Pinata (USA, Europe)/Viva Pinata (USA, Europe).json
Microsoft Xbox 360 || Viva Pinata - Trouble in Paradise (USA, Europe) || $ROM_JSON_ROOT/Microsoft/Microsoft Xbox 360/Viva Pinata - Trouble in Paradise (USA, Europe)/Viva Pinata - Trouble in Paradise (USA, Europe).json
Microsoft Xbox 360 || Xbox Live Arcade (World) (En,Ja,Fr,De,Es,It,Pt,Zh,Ko,Pl,Ru) || $ROM_JSON_ROOT/Microsoft/Microsoft Xbox 360/Xbox Live Arcade (World) (En,Ja,Fr,De,Es,It,Pt,Zh,Ko,Pl,Ru)/Xbox Live Arcade (World) (En,Ja,Fr,De,Es,It,Pt,Zh,Ko,Pl,Ru).json
Microsoft Xbox 360 || Xbox Live Arcade Unplugged Volume 1 (World) (En,Fr,De,Es,It) || $ROM_JSON_ROOT/Microsoft/Microsoft Xbox 360/Xbox Live Arcade Unplugged Volume 1 (World) (En,Fr,De,Es,It)/Xbox Live Arcade Unplugged Volume 1 (World) (En,Fr,De,Es,It).json
