Sony PlayStation Portable || 3rd Birthday, The (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/3rd Birthday, The (USA)/3rd Birthday, The (USA).json
Sony PlayStation Portable || Frantix - A Puzzle Adventure (USA) (v1.01) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/Frantix - A Puzzle Adventure (USA) (v1.01)/Frantix - A Puzzle Adventure (USA) (v1.01).json
Sony PlayStation Portable || Grand Knight History (Japan) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/Grand Knight History (Japan)/Grand Knight History (Japan).json
Sony PlayStation Portable || Growlanser - Wayfarer of Time (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/Growlanser - Wayfarer of Time (USA)/Growlanser - Wayfarer of Time (USA).json
Sony PlayStation Portable || Gungnir (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/Gungnir (USA)/Gungnir (USA).json
Sony PlayStation Portable || Half-Minute Hero (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/Half-Minute Hero (USA)/Half-Minute Hero (USA).json
Sony PlayStation Portable || Hexyz Force (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/Hexyz Force (USA)/Hexyz Force (USA).json
Sony PlayStation Portable || Infected (USA) (v1.02) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/Infected (USA) (v1.02)/Infected (USA) (v1.02).json
Sony PlayStation Portable || Invizimals (USA) (En,Fr,Es) (v1.02) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/Invizimals (USA) (En,Fr,Es) (v1.02)/Invizimals (USA) (En,Fr,Es) (v1.02).json
Sony PlayStation Portable || Invizimals - Shadow Zone (USA) (En,Fr,Es,Pt) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/Invizimals - Shadow Zone (USA) (En,Fr,Es,Pt)/Invizimals - Shadow Zone (USA) (En,Fr,Es,Pt).json
Sony PlayStation Portable || Jackass - The Game (USA) (v1.02) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/Jackass - The Game (USA) (v1.02)/Jackass - The Game (USA) (v1.02).json
Sony PlayStation Portable || Jeanne d'Arc (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/Jeanne d'Arc (USA)/Jeanne d'Arc (USA).json
Sony PlayStation Portable || Kingdom of Paradise (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/Kingdom of Paradise (USA)/Kingdom of Paradise (USA).json
Sony PlayStation Portable || LEGO Batman - The Video Game (Europe) (En,Fr,De,Es,It,Da) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/LEGO Batman - The Video Game (Europe) (En,Fr,De,Es,It,Da)/LEGO Batman - The Video Game (Europe) (En,Fr,De,Es,It,Da).json
Sony PlayStation Portable || LEGO Harry Potter - Years 1-4 (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/LEGO Harry Potter - Years 1-4 (USA)/LEGO Harry Potter - Years 1-4 (USA).json
Sony PlayStation Portable || LEGO Harry Potter - Years 5-7 (USA) (En,Fr,Es,Pt) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/LEGO Harry Potter - Years 5-7 (USA) (En,Fr,Es,Pt)/LEGO Harry Potter - Years 5-7 (USA) (En,Fr,Es,Pt).json
