Sony PlayStation Network - PlayStation 4 || Resident Evil (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Network - PlayStation 4/Resident Evil (USA)/Resident Evil (USA).json
Sony PlayStation Network - PlayStation 4 || Resident Evil - Code - Veronica X (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Network - PlayStation 4/Resident Evil - Code - Veronica X (USA)/Resident Evil - Code - Veronica X (USA).json
Sony PlayStation Network - PlayStation 4 || Rez Infinite (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Network - PlayStation 4/Rez Infinite (USA)/Rez Infinite (USA).json
Sony PlayStation Network - PlayStation 4 || Rollercoaster Dreams (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Network - PlayStation 4/Rollercoaster Dreams (USA)/Rollercoaster Dreams (USA).json
Sony PlayStation Network - PlayStation 4 || Spider-Man - Far From Home VR (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Network - PlayStation 4/Spider-Man - Far From Home VR (USA)/Spider-Man - Far From Home VR (USA).json
Sony PlayStation Network - PlayStation 4 || Spider-Man - Homecoming VR (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Network - PlayStation 4/Spider-Man - Homecoming VR (USA)/Spider-Man - Homecoming VR (USA).json
Sony PlayStation Network - PlayStation 4 || Statik (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Network - PlayStation 4/Statik (USA)/Statik (USA).json
Sony PlayStation Network - PlayStation 4 || Subnautica (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Network - PlayStation 4/Subnautica (USA)/Subnautica (USA).json
Sony PlayStation Network - PlayStation 4 || SuperHyperCube (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Network - PlayStation 4/SuperHyperCube (USA)/SuperHyperCube (USA).json
Sony PlayStation Network - PlayStation 4 || Tearaway Unfolded Soundtrack (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Network - PlayStation 4/Tearaway Unfolded Soundtrack (USA)/Tearaway Unfolded Soundtrack (USA).json
Sony PlayStation Network - PlayStation 4 || Thumper (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Network - PlayStation 4/Thumper (USA)/Thumper (USA).json
Sony PlayStation Network - PlayStation 4 || Tumble VR (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Network - PlayStation 4/Tumble VR (USA)/Tumble VR (USA).json
Sony PlayStation Network - PlayStation 4 || Valkyria Chronicles Remastered (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Network - PlayStation 4/Valkyria Chronicles Remastered (USA)/Valkyria Chronicles Remastered (USA).json
Sony PlayStation Network - PlayStation 4 || Witness, The (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Network - PlayStation 4/Witness, The (USA)/Witness, The (USA).json
