Sony PlayStation Vita || London Detective Mysteria (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Vita/London Detective Mysteria (USA)/London Detective Mysteria (USA).json
Sony PlayStation Vita || Lone Survivor - The Director's Cut (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Vita/Lone Survivor - The Director's Cut (USA)/Lone Survivor - The Director's Cut (USA).json
Sony PlayStation Vita || Mecho Tales (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Vita/Mecho Tales (USA)/Mecho Tales (USA).json
Sony PlayStation Vita || Murasma Rebirth (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Vita/Murasma Rebirth (USA)/Murasma Rebirth (USA).json
Sony PlayStation Vita || Musynx (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Vita/Musynx (USA)/Musynx (USA).json
Sony PlayStation Vita || Mystery Chronicle - One Way Heroics (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Vita/Mystery Chronicle - One Way Heroics (USA)/Mystery Chronicle - One Way Heroics (USA).json
Sony PlayStation Vita || NOVA-111 (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Vita/NOVA-111 (USA)/NOVA-111 (USA).json
Sony PlayStation Vita || NeuroVoider (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Vita/NeuroVoider (USA)/NeuroVoider (USA).json
Sony PlayStation Vita || Oceanhorn - Monster of Uncharted Seas (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Vita/Oceanhorn - Monster of Uncharted Seas (USA)/Oceanhorn - Monster of Uncharted Seas (USA).json
Sony PlayStation Vita || Octodad - Dadliest Catch (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Vita/Octodad - Dadliest Catch (USA)/Octodad - Dadliest Catch (USA).json
Sony PlayStation Vita || Operation Abyss - New Tokyo Legacy (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Vita/Operation Abyss - New Tokyo Legacy (USA)/Operation Abyss - New Tokyo Legacy (USA).json
Sony PlayStation Vita || Operation Babel - New Tokyo Legacy (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Vita/Operation Babel - New Tokyo Legacy (USA)/Operation Babel - New Tokyo Legacy (USA).json
Sony PlayStation Vita || Organ Trail - Complete Edition (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Vita/Organ Trail - Complete Edition (USA)/Organ Trail - Complete Edition (USA).json
Sony PlayStation Vita || PSYCHO-PASS - Mandatory Happiness (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Vita/PSYCHO-PASS - Mandatory Happiness (USA)/PSYCHO-PASS - Mandatory Happiness (USA).json
Sony PlayStation Vita || Papers, Please (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Vita/Papers, Please (USA)/Papers, Please (USA).json
Sony PlayStation Vita || Persona 4 Golden (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Vita/Persona 4 Golden (USA)/Persona 4 Golden (USA).json
Sony PlayStation Vita || Pix the Cat (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Vita/Pix the Cat (USA)/Pix the Cat (USA).json
Sony PlayStation Vita || Plague Road (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Vita/Plague Road (USA)/Plague Road (USA).json
Sony PlayStation Vita || Proteus (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Vita/Proteus (USA)/Proteus (USA).json
Sony PlayStation Vita || Race the Sun (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Vita/Race the Sun (USA)/Race the Sun (USA).json
Sony PlayStation Vita || Ragnarok Odyssey (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Vita/Ragnarok Odyssey (USA)/Ragnarok Odyssey (USA).json
