Sony PlayStation 2 || Manhunt (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation 2/Manhunt (USA)/Manhunt (USA).json
Sony PlayStation 2 || Manhunt 2 (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation 2/Manhunt 2 (USA)/Manhunt 2 (USA).json
Sony PlayStation 2 || Marvel - Ultimate Alliance (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation 2/Marvel - Ultimate Alliance (USA)/Marvel - Ultimate Alliance (USA).json
Sony PlayStation 2 || Matrix, The - Path of Neo (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation 2/Matrix, The - Path of Neo (USA)/Matrix, The - Path of Neo (USA).json
Sony PlayStation 2 || Max Payne (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation 2/Max Payne (USA)/Max Payne (USA).json
Sony PlayStation 2 || Max Payne 2 - The Fall of Max Payne (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation 2/Max Payne 2 - The Fall of Max Payne (USA)/Max Payne 2 - The Fall of Max Payne (USA).json
Sony PlayStation 2 || Mega Man Anniversary Collection (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation 2/Mega Man Anniversary Collection (USA)/Mega Man Anniversary Collection (USA).json
Sony PlayStation 2 || Mega Man X Collection (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation 2/Mega Man X Collection (USA)/Mega Man X Collection (USA).json
Sony PlayStation 2 || Mega Man X7 (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation 2/Mega Man X7 (USA)/Mega Man X7 (USA).json
Sony PlayStation 2 || Mega Man X8 (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation 2/Mega Man X8 (USA)/Mega Man X8 (USA).json
Sony PlayStation 2 || Midway Arcade Treasures (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation 2/Midway Arcade Treasures (USA)/Midway Arcade Treasures (USA).json
Sony PlayStation 2 || Midway Arcade Treasures 2 (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation 2/Midway Arcade Treasures 2 (USA)/Midway Arcade Treasures 2 (USA).json
Sony PlayStation 2 || Midway Arcade Treasures 3 (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation 2/Midway Arcade Treasures 3 (USA)/Midway Arcade Treasures 3 (USA).json
Sony PlayStation 2 || Minority Report - Everybody Runs (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation 2/Minority Report - Everybody Runs (USA)/Minority Report - Everybody Runs (USA).json
Sony PlayStation 2 || Namco x Capcom (Japan) || $ROM_JSON_ROOT/Sony/Sony PlayStation 2/Namco x Capcom (Japan)/Namco x Capcom (Japan).json
Sony PlayStation 2 || Nightmare of Druaga, The - Fushigino Dungeon (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation 2/Nightmare of Druaga, The - Fushigino Dungeon (USA)/Nightmare of Druaga, The - Fushigino Dungeon (USA).json
Sony PlayStation 2 || ObsCure (USA) (En,Fr,Es) || $ROM_JSON_ROOT/Sony/Sony PlayStation 2/ObsCure (USA) (En,Fr,Es)/ObsCure (USA) (En,Fr,Es).json
Sony PlayStation 2 || ObsCure - The Aftermath (USA) (En,Fr,Es) || $ROM_JSON_ROOT/Sony/Sony PlayStation 2/ObsCure - The Aftermath (USA) (En,Fr,Es)/ObsCure - The Aftermath (USA) (En,Fr,Es).json
Sony PlayStation 2 || Odin Sphere (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation 2/Odin Sphere (USA)/Odin Sphere (USA).json
Sony PlayStation 2 || Oni (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation 2/Oni (USA)/Oni (USA).json
Sony PlayStation 2 || Operative, The - No One Lives Forever (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation 2/Operative, The - No One Lives Forever (USA)/Operative, The - No One Lives Forever (USA).json
