Sony PlayStation || Final Fantasy IX (USA) (v1.1) || $ROM_JSON_ROOT/Sony/Sony PlayStation/Final Fantasy IX (USA) (v1.1)/Final Fantasy IX (USA) (v1.1).json
Sony PlayStation || Final Fantasy Origins (USA) (v1.1) || $ROM_JSON_ROOT/Sony/Sony PlayStation/Final Fantasy Origins (USA) (v1.1)/Final Fantasy Origins (USA) (v1.1).json
Sony PlayStation || Final Fantasy Tactics (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation/Final Fantasy Tactics (USA)/Final Fantasy Tactics (USA).json
Sony PlayStation || Final Fantasy VII (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation/Final Fantasy VII (USA)/Final Fantasy VII (USA).json
Sony PlayStation || Final Fantasy VIII (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation/Final Fantasy VIII (USA)/Final Fantasy VIII (USA).json
Sony PlayStation || Firemen 2, The - Pete & Danny (Japan) || $ROM_JSON_ROOT/Sony/Sony PlayStation/Firemen 2, The - Pete & Danny (Japan)/Firemen 2, The - Pete & Danny (Japan).json
Sony PlayStation || Front Mission 3 (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation/Front Mission 3 (USA)/Front Mission 3 (USA).json
Sony PlayStation || Future Cop - L.A.P.D. (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation/Future Cop - L.A.P.D. (USA)/Future Cop - L.A.P.D. (USA).json
Sony PlayStation || GaiaSeed - Project Seed Trap (Japan) || $ROM_JSON_ROOT/Sony/Sony PlayStation/GaiaSeed - Project Seed Trap (Japan)/GaiaSeed - Project Seed Trap (Japan).json
Sony PlayStation || Galaga - Destination Earth (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation/Galaga - Destination Earth (USA)/Galaga - Destination Earth (USA).json
Sony PlayStation || Galerians (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation/Galerians (USA)/Galerians (USA).json
Sony PlayStation || Gauntlet Legends (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation/Gauntlet Legends (USA)/Gauntlet Legends (USA).json
Sony PlayStation || Grand Theft Auto (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation/Grand Theft Auto (USA)/Grand Theft Auto (USA).json
Sony PlayStation || Grandia (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation/Grandia (USA)/Grandia (USA).json
Sony PlayStation || Granstream Saga, The (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation/Granstream Saga, The (USA)/Granstream Saga, The (USA).json
