Sega Genesis || Ecco the Dolphin (USA, Europe, Korea) || $ROM_JSON_ROOT/Other/Sega Genesis/Ecco the Dolphin (USA, Europe, Korea)/Ecco the Dolphin (USA, Europe, Korea).json
Sega Genesis || Elemental Master (USA) || $ROM_JSON_ROOT/Other/Sega Genesis/Elemental Master (USA)/Elemental Master (USA).json
Sega Genesis || Eternal Champions (USA) || $ROM_JSON_ROOT/Other/Sega Genesis/Eternal Champions (USA)/Eternal Champions (USA).json
Sega Genesis || Fatal Fury 2 (USA, Korea) (En) || $ROM_JSON_ROOT/Other/Sega Genesis/Fatal Fury 2 (USA, Korea) (En)/Fatal Fury 2 (USA, Korea) (En).json
Sega Genesis || Fatal Labyrinth (USA, Europe) || $ROM_JSON_ROOT/Other/Sega Genesis/Fatal Labyrinth (USA, Europe)/Fatal Labyrinth (USA, Europe).json
Sega Genesis || Flicky (USA, Europe) || $ROM_JSON_ROOT/Other/Sega Genesis/Flicky (USA, Europe)/Flicky (USA, Europe).json
Sega Genesis || Gain Ground (USA) || $ROM_JSON_ROOT/Other/Sega Genesis/Gain Ground (USA)/Gain Ground (USA).json
Sega Genesis || Galaxy Force II (USA, Europe) (PC Rerelease) || $ROM_JSON_ROOT/Other/Sega Genesis/Galaxy Force II (USA, Europe) (PC Rerelease)/Galaxy Force II (USA, Europe) (PC Rerelease).json
Sega Genesis || Galaxy Force II (World) (Rev B) || $ROM_JSON_ROOT/Other/Sega Genesis/Galaxy Force II (World) (Rev B)/Galaxy Force II (World) (Rev B).json
Sega Genesis || General Chaos (USA, Europe) || $ROM_JSON_ROOT/Other/Sega Genesis/General Chaos (USA, Europe)/General Chaos (USA, Europe).json
Sega Genesis || Golden Axe (World) (Rev A) || $ROM_JSON_ROOT/Other/Sega Genesis/Golden Axe (World) (Rev A)/Golden Axe (World) (Rev A).json
Sega Genesis || Golden Axe II (World) || $ROM_JSON_ROOT/Other/Sega Genesis/Golden Axe II (World)/Golden Axe II (World).json
Sega Genesis || Golden Axe III (Japan) (En) || $ROM_JSON_ROOT/Other/Sega Genesis/Golden Axe III (Japan) (En)/Golden Axe III (Japan) (En).json
Sega Genesis || Granada (Japan, USA) (En) || $ROM_JSON_ROOT/Other/Sega Genesis/Granada (Japan, USA) (En)/Granada (Japan, USA) (En).json
Sega Genesis || Gunstar Heroes (Japan) || $ROM_JSON_ROOT/Other/Sega Genesis/Gunstar Heroes (Japan)/Gunstar Heroes (Japan).json
Sega Genesis || Gunstar Heroes (Japan) (Sample) (April, 1993) || $ROM_JSON_ROOT/Other/Sega Genesis/Gunstar Heroes (Japan) (Sample) (April, 1993)/Gunstar Heroes (Japan) (Sample) (April, 1993).json
Sega Genesis || Gunstar Heroes (USA) || $ROM_JSON_ROOT/Other/Sega Genesis/Gunstar Heroes (USA)/Gunstar Heroes (USA).json
Sega Genesis || Haunting Starring Polterguy (USA, Europe) || $ROM_JSON_ROOT/Other/Sega Genesis/Haunting Starring Polterguy (USA, Europe)/Haunting Starring Polterguy (USA, Europe).json
Sega Genesis || Hellfire (USA) || $ROM_JSON_ROOT/Other/Sega Genesis/Hellfire (USA)/Hellfire (USA).json
Sega Genesis || Herzog Zwei (USA, Europe) || $ROM_JSON_ROOT/Other/Sega Genesis/Herzog Zwei (USA, Europe)/Herzog Zwei (USA, Europe).json
Sega Genesis || Jungle Strike (USA, Europe) || $ROM_JSON_ROOT/Other/Sega Genesis/Jungle Strike (USA, Europe)/Jungle Strike (USA, Europe).json
Sega Genesis || Kid Chameleon (USA, Europe) || $ROM_JSON_ROOT/Other/Sega Genesis/Kid Chameleon (USA, Europe)/Kid Chameleon (USA, Europe).json
Sega Genesis || Landstalker (USA) || $ROM_JSON_ROOT/Other/Sega Genesis/Landstalker (USA)/Landstalker (USA).json
Sega Genesis || Landstalker - Die Schatze von Konig Nolo (Germany) || $ROM_JSON_ROOT/Other/Sega Genesis/Landstalker - Die Schatze von Konig Nolo (Germany)/Landstalker - Die Schatze von Konig Nolo (Germany).json
Sega Genesis || Landstalker - Le Tresor du Roi Nole (France) || $ROM_JSON_ROOT/Other/Sega Genesis/Landstalker - Le Tresor du Roi Nole (France)/Landstalker - Le Tresor du Roi Nole (France).json
Sega Genesis || Legende de Thor, La (France) || $ROM_JSON_ROOT/Other/Sega Genesis/Legende de Thor, La (France)/Legende de Thor, La (France).json
Sega Genesis || Light Crusader (USA) || $ROM_JSON_ROOT/Other/Sega Genesis/Light Crusader (USA)/Light Crusader (USA).json
Sega Genesis || Lightening Force - Quest for the Darkstar (USA) || $ROM_JSON_ROOT/Other/Sega Genesis/Lightening Force - Quest for the Darkstar (USA)/Lightening Force - Quest for the Darkstar (USA).json
Sega Genesis || Mega Man - The Wily Wars (Europe) || $ROM_JSON_ROOT/Other/Sega Genesis/Mega Man - The Wily Wars (Europe)/Mega Man - The Wily Wars (Europe).json
Sega Genesis || Mega Turrican (USA) || $ROM_JSON_ROOT/Other/Sega Genesis/Mega Turrican (USA)/Mega Turrican (USA).json
Sega Genesis || Mega Turrican - Director's Cut (World) (Aftermarket) (Unl) || $ROM_JSON_ROOT/Other/Sega Genesis/Mega Turrican - Director's Cut (World) (Aftermarket) (Unl)/Mega Turrican - Director's Cut (World) (Aftermarket) (Unl).json
Sega Genesis || Midnight Resistance (USA) || $ROM_JSON_ROOT/Other/Sega Genesis/Midnight Resistance (USA)/Midnight Resistance (USA).json
Sega Genesis || Might and Magic - Gates to Another World (USA, Europe) || $ROM_JSON_ROOT/Other/Sega Genesis/Might and Magic - Gates to Another World (USA, Europe)/Might and Magic - Gates to Another World (USA, Europe).json
Sega Genesis || Mortal Kombat (World) || $ROM_JSON_ROOT/Other/Sega Genesis/Mortal Kombat (World)/Mortal Kombat (World).json
Sega Genesis || Mortal Kombat II (World) || $ROM_JSON_ROOT/Other/Sega Genesis/Mortal Kombat II (World)/Mortal Kombat II (World).json
Sega Genesis || Mugen Senshi Valis (Japan) || $ROM_JSON_ROOT/Other/Sega Genesis/Mugen Senshi Valis (Japan)/Mugen Senshi Valis (Japan).json
Sega Genesis || Mutant League Football (USA, Europe) || $ROM_JSON_ROOT/Other/Sega Genesis/Mutant League Football (USA, Europe)/Mutant League Football (USA, Europe).json
Sega Genesis || Ooze, The (Japan, USA) || $ROM_JSON_ROOT/Other/Sega Genesis/Ooze, The (Japan, USA)/Ooze, The (Japan, USA).json
Sega Genesis || OutRun (USA, Europe) || $ROM_JSON_ROOT/Other/Sega Genesis/OutRun (USA, Europe)/OutRun (USA, Europe).json
Sega Genesis || OutRunners (USA) || $ROM_JSON_ROOT/Other/Sega Genesis/OutRunners (USA)/OutRunners (USA).json
Sega Genesis || Phantasy Star - Sennenki no Owari ni (Japan) || $ROM_JSON_ROOT/Other/Sega Genesis/Phantasy Star - Sennenki no Owari ni (Japan)/Phantasy Star - Sennenki no Owari ni (Japan).json
Sega Genesis || Phantasy Star - Sennenki no Owari ni (Japan) (Mega Drive Mini) || $ROM_JSON_ROOT/Other/Sega Genesis/Phantasy Star - Sennenki no Owari ni (Japan) (Mega Drive Mini)/Phantasy Star - Sennenki no Owari ni (Japan) (Mega Drive Mini).json
Sega Genesis || Phantasy Star II (USA, Europe) (Rev A) || $ROM_JSON_ROOT/Other/Sega Genesis/Phantasy Star II (USA, Europe) (Rev A)/Phantasy Star II (USA, Europe) (Rev A).json
Sega Genesis || Phantasy Star II (USA, Europe) (Rev A) (PC Rerelease) || $ROM_JSON_ROOT/Other/Sega Genesis/Phantasy Star II (USA, Europe) (Rev A) (PC Rerelease)/Phantasy Star II (USA, Europe) (Rev A) (PC Rerelease).json
Sega Genesis || Phantasy Star II - Amia's Adventure (Japan) (SegaNet) || $ROM_JSON_ROOT/Other/Sega Genesis/Phantasy Star II - Amia's Adventure (Japan) (SegaNet)/Phantasy Star II - Amia's Adventure (Japan) (SegaNet).json
Sega Genesis || Phantasy Star II - Anne's Adventure (Japan) (SegaNet) || $ROM_JSON_ROOT/Other/Sega Genesis/Phantasy Star II - Anne's Adventure (Japan) (SegaNet)/Phantasy Star II - Anne's Adventure (Japan) (SegaNet).json
Sega Genesis || Phantasy Star II - Huey's Adventure (Japan) (SegaNet) || $ROM_JSON_ROOT/Other/Sega Genesis/Phantasy Star II - Huey's Adventure (Japan) (SegaNet)/Phantasy Star II - Huey's Adventure (Japan) (SegaNet).json
Sega Genesis || Phantasy Star II - Kaerazaru Toki no Owari ni (Japan) || $ROM_JSON_ROOT/Other/Sega Genesis/Phantasy Star II - Kaerazaru Toki no Owari ni (Japan)/Phantasy Star II - Kaerazaru Toki no Owari ni (Japan).json
Sega Genesis || Phantasy Star II - Kinds's Adventure (Japan) (SegaNet) || $ROM_JSON_ROOT/Other/Sega Genesis/Phantasy Star II - Kinds's Adventure (Japan) (SegaNet)/Phantasy Star II - Kinds's Adventure (Japan) (SegaNet).json
Sega Genesis || Phantasy Star II - Nei's Adventure (Japan) (SegaNet) || $ROM_JSON_ROOT/Other/Sega Genesis/Phantasy Star II - Nei's Adventure (Japan) (SegaNet)/Phantasy Star II - Nei's Adventure (Japan) (SegaNet).json
Sega Genesis || Phantasy Star II - Rudger's Adventure (Japan) (SegaNet) || $ROM_JSON_ROOT/Other/Sega Genesis/Phantasy Star II - Rudger's Adventure (Japan) (SegaNet)/Phantasy Star II - Rudger's Adventure (Japan) (SegaNet).json
Sega Genesis || Phantasy Star II - Shilka's Adventure (Japan) (SegaNet) || $ROM_JSON_ROOT/Other/Sega Genesis/Phantasy Star II - Shilka's Adventure (Japan) (SegaNet)/Phantasy Star II - Shilka's Adventure (Japan) (SegaNet).json
Sega Genesis || Phantasy Star II - Yushis's Adventure (Japan) (SegaNet) || $ROM_JSON_ROOT/Other/Sega Genesis/Phantasy Star II - Yushis's Adventure (Japan) (SegaNet)/Phantasy Star II - Yushis's Adventure (Japan) (SegaNet).json
Sega Genesis || Phantasy Star III - Generations of Doom (USA, Europe) || $ROM_JSON_ROOT/Other/Sega Genesis/Phantasy Star III - Generations of Doom (USA, Europe)/Phantasy Star III - Generations of Doom (USA, Europe).json
Sega Genesis || Phantasy Star III - Generations of Doom (USA, Europe, Korea) || $ROM_JSON_ROOT/Other/Sega Genesis/Phantasy Star III - Generations of Doom (USA, Europe, Korea)/Phantasy Star III - Generations of Doom (USA, Europe, Korea).json
Sega Genesis || Phantasy Star IV (USA) || $ROM_JSON_ROOT/Other/Sega Genesis/Phantasy Star IV (USA)/Phantasy Star IV (USA).json
Sega Genesis || Populous (Japan) || $ROM_JSON_ROOT/Other/Sega Genesis/Populous (Japan)/Populous (Japan).json
Sega Genesis || Populous (USA) (Unl) || $ROM_JSON_ROOT/Other/Sega Genesis/Populous (USA) (Unl)/Populous (USA) (Unl).json
Sega Genesis || Probotector (World) (60Hz Hack) (Contra Anniversary Collection) || $ROM_JSON_ROOT/Other/Sega Genesis/Probotector (World) (60Hz Hack) (Contra Anniversary Collection)/Probotector (World) (60Hz Hack) (Contra Anniversary Collection).json
Sega Genesis || Probotector (World) (Contra Anniversary Collection) || $ROM_JSON_ROOT/Other/Sega Genesis/Probotector (World) (Contra Anniversary Collection)/Probotector (World) (Contra Anniversary Collection).json
Sega Genesis || Rainbow Islands Extra (Japan) || $ROM_JSON_ROOT/Other/Sega Genesis/Rainbow Islands Extra (Japan)/Rainbow Islands Extra (Japan).json
Sega Genesis || Ranger X (USA) || $ROM_JSON_ROOT/Other/Sega Genesis/Ranger X (USA)/Ranger X (USA).json
Sega Genesis || Revenge of Shinobi, The (USA, Europe) || $ROM_JSON_ROOT/Other/Sega Genesis/Revenge of Shinobi, The (USA, Europe)/Revenge of Shinobi, The (USA, Europe).json
Sega Genesis || Revenge of Shinobi, The (USA, Europe) (Rev B) || $ROM_JSON_ROOT/Other/Sega Genesis/Revenge of Shinobi, The (USA, Europe) (Rev B)/Revenge of Shinobi, The (USA, Europe) (Rev B).json
Sega Genesis || Revenge of Shinobi, The (World) (Rev B) (Virtual Console) || $ROM_JSON_ROOT/Other/Sega Genesis/Revenge of Shinobi, The (World) (Rev B) (Virtual Console)/Revenge of Shinobi, The (World) (Rev B) (Virtual Console).json
Sega Genesis || Ristar (USA, Europe) || $ROM_JSON_ROOT/Other/Sega Genesis/Ristar (USA, Europe)/Ristar (USA, Europe).json
Sega Genesis || Ristar - The Shooting Star (Japan, Korea) || $ROM_JSON_ROOT/Other/Sega Genesis/Ristar - The Shooting Star (Japan, Korea)/Ristar - The Shooting Star (Japan, Korea).json
Sega Genesis || Road Rash (USA, Europe) || $ROM_JSON_ROOT/Other/Sega Genesis/Road Rash (USA, Europe)/Road Rash (USA, Europe).json
Sega Genesis || Road Rash 3 (USA, Europe) || $ROM_JSON_ROOT/Other/Sega Genesis/Road Rash 3 (USA, Europe)/Road Rash 3 (USA, Europe).json
Sega Genesis || Road Rash II (USA, Europe) (RR206) || $ROM_JSON_ROOT/Other/Sega Genesis/Road Rash II (USA, Europe) (RR206)/Road Rash II (USA, Europe) (RR206).json
Sega Genesis || RoboCop versus The Terminator (USA) || $ROM_JSON_ROOT/Other/Sega Genesis/RoboCop versus The Terminator (USA)/RoboCop versus The Terminator (USA).json
Sega Genesis || Rocket Knight Adventures (USA) || $ROM_JSON_ROOT/Other/Sega Genesis/Rocket Knight Adventures (USA)/Rocket Knight Adventures (USA).json
Sega Genesis || Rolling Thunder 2 (USA) || $ROM_JSON_ROOT/Other/Sega Genesis/Rolling Thunder 2 (USA)/Rolling Thunder 2 (USA).json
Sega Genesis || SD Valis (Japan) || $ROM_JSON_ROOT/Other/Sega Genesis/SD Valis (Japan)/SD Valis (Japan).json
