Apple iOS || Resident Evil - Degeneration (USA) || $ROM_JSON_ROOT/Other/Apple iOS/Resident Evil - Degeneration (USA)/Resident Evil - Degeneration (USA).json
Apple iOS || Resident Evil 4 (USA) || $ROM_JSON_ROOT/Other/Apple iOS/Resident Evil 4 (USA)/Resident Evil 4 (USA).json
Apple iOS || Rick and Morty - Pocket Mortys (USA) || $ROM_JSON_ROOT/Other/Apple iOS/Rick and Morty - Pocket Mortys (USA)/Rick and Morty - Pocket Mortys (USA).json
Apple iOS || Scribblenauts Remix (USA) || $ROM_JSON_ROOT/Other/Apple iOS/Scribblenauts Remix (USA)/Scribblenauts Remix (USA).json
Apple iOS || Sega Classics - Altered Beast (USA) || $ROM_JSON_ROOT/Other/Apple iOS/Sega Classics - Altered Beast (USA)/Sega Classics - Altered Beast (USA).json
Apple iOS || Sega Classics - Beyond Oasis (USA) || $ROM_JSON_ROOT/Other/Apple iOS/Sega Classics - Beyond Oasis (USA)/Sega Classics - Beyond Oasis (USA).json
Apple iOS || Sega Classics - Comix Zone (USA) || $ROM_JSON_ROOT/Other/Apple iOS/Sega Classics - Comix Zone (USA)/Sega Classics - Comix Zone (USA).json
Apple iOS || Sega Classics - Crazy Taxi (USA) || $ROM_JSON_ROOT/Other/Apple iOS/Sega Classics - Crazy Taxi (USA)/Sega Classics - Crazy Taxi (USA).json
Apple iOS || Sega Classics - Decap Attack (USA) || $ROM_JSON_ROOT/Other/Apple iOS/Sega Classics - Decap Attack (USA)/Sega Classics - Decap Attack (USA).json
Apple iOS || Sega Classics - Dynamite Headdy (USA) || $ROM_JSON_ROOT/Other/Apple iOS/Sega Classics - Dynamite Headdy (USA)/Sega Classics - Dynamite Headdy (USA).json
Apple iOS || Sega Classics - ESWAT - City Under Siege (USA) || $ROM_JSON_ROOT/Other/Apple iOS/Sega Classics - ESWAT - City Under Siege (USA)/Sega Classics - ESWAT - City Under Siege (USA).json
Apple iOS || Sega Classics - Ecco the Dolphin (USA) || $ROM_JSON_ROOT/Other/Apple iOS/Sega Classics - Ecco the Dolphin (USA)/Sega Classics - Ecco the Dolphin (USA).json
Apple iOS || Sega Classics - Golden Axe (USA) || $ROM_JSON_ROOT/Other/Apple iOS/Sega Classics - Golden Axe (USA)/Sega Classics - Golden Axe (USA).json
Apple iOS || Sega Classics - Golden Axe II (USA) || $ROM_JSON_ROOT/Other/Apple iOS/Sega Classics - Golden Axe II (USA)/Sega Classics - Golden Axe II (USA).json
Apple iOS || Sega Classics - Golden Axe III (USA) || $ROM_JSON_ROOT/Other/Apple iOS/Sega Classics - Golden Axe III (USA)/Sega Classics - Golden Axe III (USA).json
Apple iOS || Sega Classics - Gunstar Heroes (USA) || $ROM_JSON_ROOT/Other/Apple iOS/Sega Classics - Gunstar Heroes (USA)/Sega Classics - Gunstar Heroes (USA).json
Apple iOS || Sega Classics - Kid Chameleon (USA) || $ROM_JSON_ROOT/Other/Apple iOS/Sega Classics - Kid Chameleon (USA)/Sega Classics - Kid Chameleon (USA).json
Apple iOS || Sega Classics - Phantasy Star II (USA) || $ROM_JSON_ROOT/Other/Apple iOS/Sega Classics - Phantasy Star II (USA)/Sega Classics - Phantasy Star II (USA).json
Apple iOS || Sega Classics - Ristar (USA) || $ROM_JSON_ROOT/Other/Apple iOS/Sega Classics - Ristar (USA)/Sega Classics - Ristar (USA).json
Apple iOS || Sega Classics - Shining Force (USA) || $ROM_JSON_ROOT/Other/Apple iOS/Sega Classics - Shining Force (USA)/Sega Classics - Shining Force (USA).json
Apple iOS || Sega Classics - Sonic CD (USA) || $ROM_JSON_ROOT/Other/Apple iOS/Sega Classics - Sonic CD (USA)/Sega Classics - Sonic CD (USA).json
Apple iOS || Sega Classics - Sonic the Hedgehog (USA) || $ROM_JSON_ROOT/Other/Apple iOS/Sega Classics - Sonic the Hedgehog (USA)/Sega Classics - Sonic the Hedgehog (USA).json
Apple iOS || Sega Classics - Sonic the Hedgehog 2 (USA) || $ROM_JSON_ROOT/Other/Apple iOS/Sega Classics - Sonic the Hedgehog 2 (USA)/Sega Classics - Sonic the Hedgehog 2 (USA).json
Apple iOS || Sega Classics - Space Harrier II (USA) || $ROM_JSON_ROOT/Other/Apple iOS/Sega Classics - Space Harrier II (USA)/Sega Classics - Space Harrier II (USA).json
Apple iOS || Sega Classics - Streets of Rage (USA) || $ROM_JSON_ROOT/Other/Apple iOS/Sega Classics - Streets of Rage (USA)/Sega Classics - Streets of Rage (USA).json
Apple iOS || Sega Classics - Streets of Rage 2 (USA) || $ROM_JSON_ROOT/Other/Apple iOS/Sega Classics - Streets of Rage 2 (USA)/Sega Classics - Streets of Rage 2 (USA).json
Apple iOS || Sega Classics - Streets of Rage 3 (USA) || $ROM_JSON_ROOT/Other/Apple iOS/Sega Classics - Streets of Rage 3 (USA)/Sega Classics - Streets of Rage 3 (USA).json
Apple iOS || Sega Classics - The Revenge of Shinobi (USA) || $ROM_JSON_ROOT/Other/Apple iOS/Sega Classics - The Revenge of Shinobi (USA)/Sega Classics - The Revenge of Shinobi (USA).json
Apple iOS || Sega Classics - Vectorman (USA) || $ROM_JSON_ROOT/Other/Apple iOS/Sega Classics - Vectorman (USA)/Sega Classics - Vectorman (USA).json
Apple iOS || Sega Classics - Virtua Fighter 2 (USA) || $ROM_JSON_ROOT/Other/Apple iOS/Sega Classics - Virtua Fighter 2 (USA)/Sega Classics - Virtua Fighter 2 (USA).json
Apple iOS || Sega Columns Deluxe (USA) || $ROM_JSON_ROOT/Other/Apple iOS/Sega Columns Deluxe (USA)/Sega Columns Deluxe (USA).json
Apple iOS || Silent Hill - The Escape (USA) || $ROM_JSON_ROOT/Other/Apple iOS/Silent Hill - The Escape (USA)/Silent Hill - The Escape (USA).json
Apple iOS || Solitaire (USA) || $ROM_JSON_ROOT/Other/Apple iOS/Solitaire (USA)/Solitaire (USA).json
Apple iOS || Solitaire Deluxe 2 - Card Game (USA) || $ROM_JSON_ROOT/Other/Apple iOS/Solitaire Deluxe 2 - Card Game (USA)/Solitaire Deluxe 2 - Card Game (USA).json
Apple iOS || Sonic Dash - Endless Running (USA) || $ROM_JSON_ROOT/Other/Apple iOS/Sonic Dash - Endless Running (USA)/Sonic Dash - Endless Running (USA).json
Apple iOS || Sonic Dash 2 - Sonic Boom (USA) || $ROM_JSON_ROOT/Other/Apple iOS/Sonic Dash 2 - Sonic Boom (USA)/Sonic Dash 2 - Sonic Boom (USA).json
Apple iOS || Sonic at the Olympic Games (USA) || $ROM_JSON_ROOT/Other/Apple iOS/Sonic at the Olympic Games (USA)/Sonic at the Olympic Games (USA).json
Apple iOS || Sonic the Hedgehog 4  - Episode I (USA) || $ROM_JSON_ROOT/Other/Apple iOS/Sonic the Hedgehog 4  - Episode I (USA)/Sonic the Hedgehog 4  - Episode I (USA).json
Apple iOS || Sonic the Hedgehog 4 - Episode II (USA) || $ROM_JSON_ROOT/Other/Apple iOS/Sonic the Hedgehog 4 - Episode II (USA)/Sonic the Hedgehog 4 - Episode II (USA).json
Apple iOS || Sorcery! (USA) || $ROM_JSON_ROOT/Other/Apple iOS/Sorcery! (USA)/Sorcery! (USA).json
Apple iOS || Steppy Pants (USA) || $ROM_JSON_ROOT/Other/Apple iOS/Steppy Pants (USA)/Steppy Pants (USA).json
Apple iOS || Super Flipside (USA) || $ROM_JSON_ROOT/Other/Apple iOS/Super Flipside (USA)/Super Flipside (USA).json
Apple iOS || Super Mario Run (USA) || $ROM_JSON_ROOT/Other/Apple iOS/Super Mario Run (USA)/Super Mario Run (USA).json
Apple iOS || Super Monkey Ball (USA) || $ROM_JSON_ROOT/Other/Apple iOS/Super Monkey Ball (USA)/Super Monkey Ball (USA).json
Apple iOS || Super Monkey Ball - Sakura (USA) || $ROM_JSON_ROOT/Other/Apple iOS/Super Monkey Ball - Sakura (USA)/Super Monkey Ball - Sakura (USA).json
Apple iOS || Super Monkey Ball 2 (USA) || $ROM_JSON_ROOT/Other/Apple iOS/Super Monkey Ball 2 (USA)/Super Monkey Ball 2 (USA).json
Apple iOS || Superbrothers - Sword & Sorcery EP (USA) || $ROM_JSON_ROOT/Other/Apple iOS/Superbrothers - Sword & Sorcery EP (USA)/Superbrothers - Sword & Sorcery EP (USA).json
Apple iOS || Tesla Wars HD (USA) || $ROM_JSON_ROOT/Other/Apple iOS/Tesla Wars HD (USA)/Tesla Wars HD (USA).json
Apple iOS || Tetris Blitz (USA) || $ROM_JSON_ROOT/Other/Apple iOS/Tetris Blitz (USA)/Tetris Blitz (USA).json
Apple iOS || Tiny Wings (USA) || $ROM_JSON_ROOT/Other/Apple iOS/Tiny Wings (USA)/Tiny Wings (USA).json
Apple iOS || Tiny Wings HD (USA) || $ROM_JSON_ROOT/Other/Apple iOS/Tiny Wings HD (USA)/Tiny Wings HD (USA).json
Apple iOS || Vigil RPG (USA) || $ROM_JSON_ROOT/Other/Apple iOS/Vigil RPG (USA)/Vigil RPG (USA).json
Apple iOS || Virtua Tennis Challenge (USA) || $ROM_JSON_ROOT/Other/Apple iOS/Virtua Tennis Challenge (USA)/Virtua Tennis Challenge (USA).json
Apple iOS || Where's My Water (USA) || $ROM_JSON_ROOT/Other/Apple iOS/Where's My Water (USA)/Where's My Water (USA).json
Apple iOS || Wizardry - Labyrinth of Lost Souls (USA) || $ROM_JSON_ROOT/Other/Apple iOS/Wizardry - Labyrinth of Lost Souls (USA)/Wizardry - Labyrinth of Lost Souls (USA).json
Apple iOS || Woodventure - Mahjong Connect (USA) || $ROM_JSON_ROOT/Other/Apple iOS/Woodventure - Mahjong Connect (USA)/Woodventure - Mahjong Connect (USA).json
Apple iOS || World War Z (USA) || $ROM_JSON_ROOT/Other/Apple iOS/World War Z (USA)/World War Z (USA).json
